t,     mx,           my,            mz
8.02e-10, -0.057355941, 0.64894104, -0.75861369
8.04e-10, -0.051639302, 0.64402849, -0.76320278
8.06e-10, -0.046298561, 0.639539, -0.7673149
8.08e-10, -0.041291662, 0.6354859, -0.77096416
8.1e-10, -0.036576804, 0.63187776, -0.77416544
8.12e-10, -0.032113123, 0.62871972, -0.77693336
8.14e-10, -0.027861068, 0.6260146, -0.77928149
8.16e-10, -0.023782647, 0.62376389, -0.7812218
8.18e-10, -0.019841516, 0.62196848, -0.7827642
8.2e-10, -0.016003122, 0.62062938, -0.78391618
8.22e-10, -0.012234663, 0.61974812, -0.78468262
8.24e-10, -0.008505156, 0.61932718, -0.78506561
8.26e-10, -0.0047855215, 0.61937026, -0.7850643
8.28e-10, -0.0010486845, 0.61988243, -0.78467479
8.3e-10, 0.0027302701, 0.62087022, -0.78389009
8.32e-10, 0.0065738939, 0.62234154, -0.78270014
8.34e-10, 0.010502121, 0.62430553, -0.78109184
8.36e-10, 0.01453199, 0.62677222, -0.77904921
8.38e-10, 0.018677409, 0.62975208, -0.77655363
8.4e-10, 0.022948895, 0.63325539, -0.77358421
8.42e-10, 0.027353445, 0.63729144, -0.7701183
8.44e-10, 0.031894561, 0.64186771, -0.76613205
8.46e-10, 0.036572429, 0.64698896, -0.76160105
8.48e-10, 0.041384377, 0.65265639, -0.75650104
8.5e-10, 0.046325445, 0.65886697, -0.75080847
8.52e-10, 0.051389116, 0.66561298, -0.74450093
8.54e-10, 0.056568192, 0.67288184, -0.73755748
8.56e-10, 0.061855501, 0.68065623, -0.72995868
8.58e-10, 0.067244545, 0.68891442, -0.72168647
8.6e-10, 0.072729992, 0.69763078, -0.71272394
8.62e-10, 0.078307909, 0.70677632, -0.70305498
8.64e-10, 0.083975882, 0.71631925, -0.69266394
8.66e-10, 0.089732981, 0.7262254, -0.68153543
8.68e-10, 0.095579499, 0.73645862, -0.66965397
8.7e-10, 0.10151685, 0.74698096, -0.65700399
8.72e-10, 0.10754729, 0.75775276, -0.64356978
8.74e-10, 0.11367371, 0.76873271, -0.62933559
8.76e-10, 0.11989939, 0.77987778, -0.61428575
8.78e-10, 0.12622788, 0.79114315, -0.59840493
8.8e-10, 0.13266282, 0.80248206, -0.5816784
8.82e-10, 0.1392078, 0.81384569, -0.56409239
8.84e-10, 0.14586624, 0.82518313, -0.54563441
8.86e-10, 0.15264127, 0.83644126, -0.52629361
8.88e-10, 0.15953563, 0.84756473, -0.50606122
8.9e-10, 0.16655147, 0.85849604, -0.48493091
8.92e-10, 0.17369032, 0.86917556, -0.46289923
8.94e-10, 0.18095293, 0.87954172, -0.43996588
8.96e-10, 0.1883391, 0.88953122, -0.41613419
8.98e-10, 0.19584747, 0.89907929, -0.39141139
9e-10, 0.20347552, 0.90812001, -0.3658089
9.02e-10, 0.21121929, 0.91658679, -0.33934253
9.04e-10, 0.21907339, 0.9244127, -0.31203264
9.06e-10, 0.22703076, 0.93153103, -0.2839042
